52,18,80
52,19,80
52,20,90
52,21,80
52,22,80
52,23,75
52,24,85
53,1,17
53,2,6
53,3,3
53,4,2
53,5,
53,6,2
53,7,
53,8,7
53,9,27
53,10,22
53,11,88
53,12,85
53,13,20
53,14,90
53,15,70
53,16,80
53,17,60
53,18,80
53,19,70
53,20,70
53,21,100
53,22,80
53,23,80
53,24,80
54,1,18
54,2,1
54,3,3
54,4,2
54,5,
54,6,2
54,7,
54,8,7
54,9,88
54,10,97
54,11,93
54,12,83
54,13,103
54,14,95
54,15,89
54,16,85
54,17,80
54,18,95
54,19,90
54,20,100
54,21,100
54,22,95
54,23,89
54,24,100
55,1,17
55,2,1
55,3,3
55,4,2
55,5,
55,6,3
55,7,22
55,8,1
55,9,60
55,10,41
55,11,20
55,12,83
55,13,22
55,14,70
55,15,75
55,16,85
55,17,60
55,18,80
55,19,90
55,20,90
55,21,90
55,22,70
55,23,75
55,24,80
56,1,18
56,2,1
56,3,4
56,4,2
56,5,
56,6,1
56,7,
56,8,2
56,9,41
56,10,42
56,11,44
56,12,33
56,13,
56,14,60
56,15,80
56,16,70
56,17,60
56,18,60
56,19,90
56,20,60
56,21,60
56,22,100
56,23,60
56,24,60
57,1,17
57,2,6
57,3,3
57,4,
57,5,
57,6,3
57,7,114
57,8,7
57,9,85
57,10,95
57,11,26
57,12,103
57,13,83
57,14,97
57,15,85
57,16,97
57,17,76
57,18,76
57,19,92
57,20,82
57,21,91
57,22,83
57,23,75
57,24,100
58,1,16
58,2,6
58,3,
58,4,1
58,5,
58,6,1
58,7,
58,8,
58,9,85
58,10,19
58,11,18
58,12,
58,13,
58,14,82
58,15,86
58,16,77
58,17,62
58,18,66
58,19,92
58,20,84
58,21,85
58,22,84
58,23,71
58,24,91
59,1,17
59,2,6
59,3,2
59,4,2
59,5,
59,6,2
59,7,
59,8,18
59,9,25
59,10,29
59,11,104
59,12,
59,13,
59,14,85
59,15,65
59,16,65
59,17,75
59,18,85
59,19,95
59,20,60
59,21,75
59,22,85
59,23,40
59,24,90
60,1,18
60,2,6
60,3,2
60,4,2
60,5,
60,6,2
60,7,
60,8,10
