108;17;1;4;3;85;3;83;2;3;3;3;4;2;80;80;70;70;70;70;80;80;60;80;80
109;16;1;4;2;;1;;17;3;3;3;;;80;70;70;90;70;90;70;70;90;80;80
110;18;1;4;2;;2;;7;4;2;3;;;65;50;55;68;60;85;80;80;90;90;80
111;20;1;2;2;;1;;24;3;4;2;3;4;65;73;60;71;82;71;71;60;68;69;73
112;17;2;4;3;;3;106;18;2;4;2;3;;80;70;70;80;80;80;70;80;70;90;80
113;17;2;2;;;;;;2;4;4;4;2;85;30;90;15;70;;80;80;60;70;70
114;18;1;2;;;;;1;3;3;3;4;3;80;75;90;70;95;75;75;65;100;95;90
115;19;1;2;2;;3;33;1;3;4;3;3;;70;70;80;68;71;;70;75;90;72;71
116;26;2;1;1;;1;;;4;2;2;2;;70;70;90;75;98;;80;95;100;100;100
117;23;1;2;2;;2;;17;4;2;2;3;4;60;75;81;80;78;;80;85;82;100;100
118;19;1;3;3;20;3;104;9;4;4;4;4;4;80;70;70;70;80;100;90;90;100;100;100
119;18;1;3;2;;2;;1;2;2;2;3;;80;60;80;50;70;;70;100;90;100;100
120;18;2;2;2;;2;;12;4;4;2;2;;80;50;70;40;80;;80;100;80;90;90
