94;17;Masculino;de 1 a 2 salários mínimos;Ensino Médio Completo;;Ensino Médio Completo;;Inglês;101;17;77;;;60;70;79;60;60;98;70;70;70;70;60
95;18;Feminino;de 2 a 3 salários mínimos;Ensino Médio Completo;;Ensino Médio Completo;;Biologia;27;22;17;;;60;;60;60;60;80;70;70;80;70;70
96;18;Feminino;mais de 3 salários mínimos;Ensino Médio Completo;;Ensino Médio Completo;;História;85;93;83;97;;80;70;70;80;80;90;90;90;100;90;90
97;17;Masculino;de 1 a 2 salários mínimos;Ensino Médio Completo;;Ensino Médio Completo;;Matemática;47;46;42;32;;83;72;77;75;67;95;88;69;70;93;96
98;16;Masculino;mais de 3 salários mínimos;Ensino Superior Completo;77;Ensino Médio Completo;;Matemática;42;41;46;;;70;80;90;80;50;80;60;60;70;90;99
99;18;Masculino;mais de 3 salários mínimos;Ensino Superior Completo;55;Ensino Superior Completo;22;66;64;60;49;;;75;85;80;85;80;95;70;80;80;90;80
100;17;Masculino;de 2 a 3 salários mínimos;Ensino Superior Completo;87;Ensino Superior Completo;83;Química;74;73;27;;;60;55;70;80;60;100;60;70;70;80;70
101;18;Feminino;mais de 3 salários mínimos;Ensino Superior Completo;27;Ensino Superior Completo;94;Português;103;26;42;47;;100;60;70;70;60;100;90;80;90;90;100
102;17;Masculino;mais de 3 salários mínimos;Ensino Superior Completo;55;Ensino Superior Completo;83;Matemática;42;55;112;77;49;65;75;80;80;65;85;85;70;65;90;80
103;17;Feminino;de 1 a 2 salários mínimos;Ensino Superior Completo;;Ensino Médio Completo;;Biologia;85;83;77;27;33;80;70;60;80;75;90;90;85;75;85;95
104;18;Masculino;mais de 3 salários mínimos;Ensino Médio Completo;;Ensino Médio Completo;;Português;85;19;26;77;83;70;65;70;85;65;90;80;85;69;100;90
105;17;Masculino;de 2 a 3 salários mínimos;Ensino Médio Completo;;Ensino Médio Completo;;;27;21;60;76;20;64;72;73;83;63;73;72;95;65;95;74
106;18;Masculino;mais de 3 salários mínimos;Ensino Médio Completo;;Ensino Médio Completo;;Matemática;43;76;41;46;;65;78;80;70;59;90;80;75;85;90;80
107;17;Masculino;de 1 a 2 salários mínimos;Ensino Médio Completo;;Ensino Médio Completo;;;55;27;21;76;83;99;79;89;92;93;94;91;83;100;100;100
108;17;Masculino;mais de 3 salários mínimos;Ensino Superior Completo;85;Ensino Superior Completo;83;66;55;49;42;103;20;80;80;70;70;70;70;80;80;60;80;80
109;16;Masculino;mais de 3 salários mínimos;Ensino Médio Completo;;Ensino Fundamental Completo;;Química;77;74;47;;;80;70;70;90;70;90;70;70;90;80;80
110;18;Masculino;mais de 3 salários mínimos;Ensino Médio Completo;;Ensino Médio Completo;;Português;85;27;47;;;65;50;55;68;60;85;80;80;90;90;80
111;20;Masculino;de 1 a 2 salários mínimos;Ensino Médio Completo;;Ensino Fundamental Completo;;20;68;83;20;41;101;65;73;60;71;82;71;71;60;68;69;73
112;17;Feminino;mais de 3 salários mínimos;Ensino Superior Completo;;Ensino Superior Completo;106;Biologia;27;85;21;77;;80;70;70;80;80;80;70;80;70;90;80
113;17;Feminino;de 1 a 2 salários mínimos;;;;;;27;85;92;83;22;85;30;90;15;70;;80;80;60;70;70
114;18;Masculino;de 1 a 2 salários mínimos;;;;;Matemática;55;42;60;101;41;80;75;90;70;95;75;75;65;100;95;90
115;19;Masculino;de 1 a 2 salários mínimos;Ensino Médio Completo;;Ensino Superior Completo;33;Matemática;68;83;76;55;;70;70;80;68;71;;70;75;90;72;71
116;26;Feminino;menos de 1 salário mínimo;Ensino Fundamental Completo;;Ensino Fundamental Completo;;;104;20;33;26;;70;70;90;75;98;;80;95;100;100;100
117;23;Masculino;de 1 a 2 salários mínimos;Ensino Médio Completo;;Ensino Médio Completo;;Química;106;22;32;41;118;60;75;81;80;78;;80;85;82;100;100
118;19;Masculino;de 2 a 3 salários mínimos;Ensino Superior Completo;20;Ensino Superior Completo;104;História;87;103;92;85;106;80;70;70;70;80;100;90;90;100;100;100
119;18;Masculino;de 2 a 3 salários mínimos;Ensino Médio Completo;;Ensino Médio Completo;;Matemática;27;22;20;69;;80;60;80;50;70;;70;100;90;100;100
120;18;Feminino;de 1 a 2 salários mínimos;Ensino Médio Completo;;Ensino Médio Completo;;105;106;85;22;21;;80;50;70;40;80;;80;100;80;90;90
